ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,PRODUCTCODE
10262,21,57.11,12,1199.31,S72_1253
10262,48,61.42,8,2948.16,S24_3949
10262,24,67.14,10,1611.36,S24_2841
10262,35,71.07,7,2487.45,S700_4002
10262,27,76,5,2052,S700_3167
10262,40,84.03,4,3361.2,S700_1691
10262,33,90.75,6,2994.75,S700_2466
10262,34,97.38,1,3310.92,S24_1785
10262,49,100,9,6567.96,S18_1662
10262,32,84.3,15,2697.6,S18_3029
10262,44,94.14,13,4142.16,S700_2047
10262,49,37.97,3,1860.53,S50_1341
10262,46,70.35,11,3236.1,S24_3420
10262,40,79.11,2,3164.4,S32_4289
10262,49,87.21,16,4273.29,S24_3816
10262,34,100,14,4103.46,S18_3856
10248,20,100,3,2910.4,S10_4757
10248,23,65.52,9,1506.96,S72_3212
10248,36,71.34,6,2568.24,S700_1138
10248,21,73.98,1,1553.58,S18_3029
10248,32,75.89,4,2428.48,S700_2610
10248,35,90.37,8,3162.95,S700_3962
10248,48,100,10,6960.48,S24_2011
10248,40,100,13,4157.2,S700_1938
10248,30,100,7,3245.4,S700_3505
10248,42,100,14,5082.42,S18_3259
10248,42,75.48,11,3170.16,S18_4522
10248,23,76.31,2,1755.13,S24_3816
10248,32,100,12,3802.56,S18_3140
10248,30,100,5,3053.7,S24_3151
10167,44,100,9,5924.16,S10_4757
10167,40,41.71,4,1668.4,S72_1253
10167,21,69.88,2,1467.48,S24_2841
10167,43,100,1,5763.72,S18_1662
10167,38,48.59,15,1846.42,S72_3212
10167,46,70.11,10,3225.06,S700_2610
10167,46,73.12,7,3363.52,S18_3029
10167,43,75.34,12,3239.62,S700_1138
10167,33,100,16,3812.16,S24_2011
10167,29,100,5,2940.02,S700_2047
10167,24,100,13,2812.8,S700_3505
10167,28,100,14,3003,S700_3962
10167,32,63.12,3,2019.84,S24_3420
10167,20,79.66,11,1593.2,S24_3151
10167,29,83.86,8,2431.94,S24_3816
10167,34,100,6,3599.58,S18_3856
10253,40,42.67,7,1706.8,S24_2972
10253,24,52.66,12,1263.84,S24_3371
10253,23,83.93,9,1930.39,S18_1889
10253,25,90.17,14,2254.25,S12_3990
10253,24,100,13,3922.56,S12_1099
10253,22,100,11,2402.84,S12_3380
10253,41,100,10,4910.57,S12_4675
10253,26,100,5,3054.48,S18_1129
10253,24,100,1,3374.88,S18_1589
10253,33,100,4,4459.62,S18_1984
10253,37,100,2,5177.04,S18_2870
10253,40,100,6,6773.6,S18_3232
10253,31,100,3,4029.38,S18_3685
10253,39,100,8,5148,S24_3856
10415,42,57.61,3,2419.62,S72_1253
10415,21,67.82,1,1424.22,S24_2841
10415,32,95.95,4,3070.4,S700_2047
10415,18,69.7,2,1254.6,S24_3420
10415,51,100,5,6209.25,S18_3856
10406,61,100,3,8374.69,S18_1129
10406,48,100,2,7169.28,S18_1984
10406,65,100,1,10468.9,S18_3685
10417,36,61.18,6,2202.48,S18_2625
10417,66,100,2,7516.08,S10_1678
10417,45,100,5,5887.35,S10_2016
10417,56,100,4,9218.16,S10_4698
10417,21,100,1,3447.78,S12_2823
10417,35,100,3,3550.05,S24_1578
10422,25,51.75,1,1293.75,S18_1367
10422,51,95.55,2,4873.05,S18_1342
10424,46,80.92,1,3722.32,S700_2824
10424,50,100,6,12001,S10_1949
10424,44,61.41,2,2702.04,S32_3522
10424,49,100,3,7969.36,S12_1666
10424,54,100,5,7182,S18_1097
10424,26,59.87,4,1556.62,S18_4668
10425,31,33.24,5,1030.44,S24_2840
10425,55,46.82,1,2575.1,S24_1444
10425,38,100,12,5894.94,S10_4962
10425,28,100,3,5318.04,S18_2238
10425,28,100,8,3793.16,S18_3232
10425,11,43.83,6,482.13,S32_2509
10425,19,49.22,10,935.18,S18_2432
10425,41,86.68,11,3553.88,S32_1268
10425,38,99.41,7,3777.58,S18_2319
10425,33,100,4,4692.6,S12_4473
10425,38,100,13,4325.16,S18_4600
10425,49,100,9,5510.54,S24_2300
10425,18,100,2,1895.94,S50_1392
10421,40,45.7,2,1828,S24_2022
10421,35,100,1,5433.75,S18_2795
10423,31,53.72,3,1665.32,S18_2957
10423,28,78.89,4,2208.92,S24_4258
10423,21,84.82,2,1781.22,S18_3136
10423,10,88.14,1,881.4,S18_2949
10423,21,89.29,5,1875.09,S18_3320
10420,36,57.73,7,2078.28,S18_4933
10420,37,60.37,13,2233.69,S24_1628
10420,60,64.67,11,3880.2,S24_1046
10420,55,96.3,8,5296.5,S24_2887
10420,35,96.74,10,3385.9,S24_3191
10420,39,100,9,3933.93,S24_2766
10420,26,100,12,2617.16,S24_3432
10420,45,26.88,1,1209.6,S24_1937
10420,15,43.49,3,652.35,S24_3969
10420,36,63.57,4,2288.52,S18_2248
10420,66,92.95,6,6134.7,S18_4409
10420,37,100,5,5283.6,S18_1749
10420,45,100,2,4977,S18_2325
10414,19,100,3,2764.88,S10_4757
10414,47,65.52,9,3079.44,S72_3212
10414,37,71.34,6,2639.58,S700_1138
10414,44,73.98,1,3255.12,S18_3029
10414,31,75.89,4,2352.59,S700_2610
10414,27,90.37,8,2439.99,S700_3962
10414,23,100,10,3335.23,S24_2011
10414,34,100,13,3533.62,S700_1938
10414,28,100,7,3029.04,S700_3505
10414,48,100,14,5808.48,S18_3259
10414,16,75.48,11,1207.68,S18_4522
10414,51,76.31,2,3891.81,S24_3816
10414,41,100,12,4872.03,S18_3140
10414,60,100,5,6107.4,S24_3151
10401,49,100,1,4992.61,S32_1374
10401,64,60.05,12,3843.2,S24_3949
10401,28,72.55,11,2031.4,S700_4002
10401,42,76.03,3,3193.26,S18_2581
10401,52,81.14,4,4219.28,S24_4278
10401,85,88.75,10,7543.75,S700_2466
10401,77,92,9,7084,S700_3167
10401,21,96.11,2,2018.31,S700_2834
10401,38,96.29,5,3659.02,S24_1785
10401,11,100,8,1135.31,S700_1691
10401,56,35.35,7,1979.6,S50_1341
10401,62,77.73,6,4819.26,S32_4289
10407,64,40.25,10,2576,S24_1628
10407,66,66.99,4,4421.34,S18_4933
10407,26,76.43,8,1987.18,S24_1046
10407,13,81.33,7,1057.29,S24_3191
10407,43,86.73,9,3729.39,S24_3432
10407,76,94.5,6,7182,S24_2766
10407,59,98.65,5,5820.35,S24_2887
10407,59,100,11,7048.14,S18_1589
10407,41,100,12,6386.16,S18_2870
10407,42,72.65,1,3051.3,S18_2248
10407,6,90.19,3,541.14,S18_4409
10407,76,100,2,14082.8,S18_1749
10334,26,100,2,3188.12,S10_4962
10334,20,100,3,2878.8,S18_3232
10334,34,61.38,1,2086.92,S18_2432
10334,46,100,6,5814.86,S18_2319
10334,49,100,4,6763.47,S18_4600
10334,42,100,5,5528.04,S24_2300
10327,25,100,6,2804.75,S18_1662
10327,45,100,8,4781.7,S18_2581
10327,25,45.86,5,1146.5,S18_3029
10327,43,80,2,3440,S700_3505
10327,37,86.61,3,3204.57,S700_3962
10327,37,86.74,4,3209.38,S72_3212
10327,21,96.31,1,2022.51,S700_2610
10327,20,100,7,3469.2,S700_1938
10386,33,41.71,11,1376.43,S24_1785
10386,25,54.57,7,1364.25,S18_1662
10386,39,55.96,1,2182.44,S24_2841
10386,50,63.34,8,3167,S24_4278
10386,41,73.32,12,3006.12,S24_3949
10386,21,74.77,18,1570.17,S18_2581
10386,37,83.84,14,3102.08,S700_2466
10386,44,86.4,15,3801.6,S700_4002
10386,50,87.15,16,4357.5,S72_1253
10386,32,94.34,17,3018.88,S700_3167
10386,29,85.76,13,2487.04,S700_2047
10386,45,92.08,2,4143.6,S700_3505
10386,37,93.01,5,3441.37,S18_3029
10386,30,95.48,3,2864.4,S700_3962
10386,37,100,10,5017.57,S700_2610
10386,43,100,4,5417.57,S72_3212
10386,22,57.55,6,1266.1,S18_3856
10386,35,63.76,9,2231.6,S24_3420
10164,39,81.93,4,3195.27,S700_2824
10164,21,100,2,3536.82,S10_4962
10164,49,54.94,5,2692.06,S32_3522
10164,36,99.17,8,3570.12,S18_1097
10164,49,100,6,6563.06,S12_1666
10164,45,100,3,5012.55,S18_4600
10164,24,100,1,2634.96,S32_1268
10164,25,53.83,7,1345.75,S18_4668
10367,38,38.5,11,1463,S24_1628
10367,49,56.3,1,2758.7,S18_1589
10367,21,60.37,10,1267.77,S24_1046
10367,44,85.25,9,3751,S18_4933
10367,46,100,6,4808.38,S18_3685
10367,36,100,2,5018.4,S24_2972
10367,28,30.59,12,856.52,S24_2022
10367,23,36.29,13,834.67,S24_1937
10367,43,62.72,8,2696.96,S18_4409
10367,32,94.79,7,3033.28,S18_2795
10367,37,100,3,4703.81,S18_1749
10367,45,100,4,8884.8,S18_2248
10367,27,100,5,4196.07,S18_2325
10136,25,100,2,3644.75,S18_1129
10136,36,100,1,5274.72,S18_1984
10136,41,100,3,8331.61,S18_3232
10178,24,100,12,3492.48,S10_4757
10178,45,51.15,7,2301.75,S72_1253
10178,30,72.33,3,2169.9,S24_3949
10178,45,76.25,2,3431.25,S700_4002
10178,34,80.84,5,2748.56,S24_2841
10178,22,87.75,1,1930.5,S700_2466
10178,42,100,4,6490.68,S18_1662
10397,34,62.24,1,2116.16,S72_3212
10397,22,66.5,4,1463,S700_2610
10397,32,80.55,5,2577.6,S700_1938
10178,41,81.72,10,3350.52,S18_3029
10178,34,96.86,8,3293.24,S700_2047
10397,48,100,3,5192.64,S700_3505
10397,36,100,2,3789.72,S700_3962
10178,21,72.12,11,1514.52,S24_3816
10178,27,73.64,6,1988.28,S24_3420
10178,48,100,9,5386.56,S18_3856
10280,34,100,2,8014.82,S10_1949
10293,46,100,8,8411.56,S12_1108
10293,24,100,9,4242.24,S12_3148
10293,45,100,7,8253,S12_3891
10293,32,60.06,1,1921.92,S72_3212
10293,29,71.89,5,2084.81,S700_1938
10293,21,100,2,2941.89,S24_2011
10293,22,100,6,2418.24,S18_3259
10280,24,100,1,2800.08,S18_1097
10280,20,28.88,12,577.6,S24_1937
10280,33,41.85,14,1381.05,S24_3969
10280,45,47.49,11,2137.05,S24_2022
10280,27,57.68,8,1557.36,S18_1367
10280,25,62.96,15,1574,S18_2248
10280,43,68.71,5,2954.53,S18_2957
10280,21,78.89,6,1656.69,S24_4258
