ORDERNUMBER,ORDERDATE,STATUS,CUSTOMERNAME,DEALSIZE
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Small
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Small
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Small
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Small
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Small
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Medium
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Small
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Medium
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Medium
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Small
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Medium
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Small
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Medium
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Medium
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Medium
10262,6/24/2004 0:00,Cancelled,Euro Shopping Channel,Medium
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Small
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Small
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Small
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Small
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Small
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Medium
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Medium
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Medium
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Medium
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Medium
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Medium
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Small
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Medium
10248,5/7/2004 0:00,Cancelled,Land of Toys Inc.,Medium
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Medium
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Small
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Small
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Medium
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Small
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Medium
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Medium
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Medium
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Medium
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Small
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Small
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Medium
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Small
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Small
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Small
10167,10/23/2003 0:00,Cancelled,Scandinavian Gift Ideas,Medium
10253,6/1/2004 0:00,Cancelled,"UK Collectables, Ltd.",Small
10253,6/1/2004 0:00,Cancelled,"UK Collectables, Ltd.",Small
10253,6/1/2004 0:00,Cancelled,"UK Collectables, Ltd.",Small
10253,6/1/2004 0:00,Cancelled,"UK Collectables, Ltd.",Small
10253,6/1/2004 0:00,Cancelled,"UK Collectables, Ltd.",Medium
